kombinasyon_kodu,meslek,konaklama,ulasim,bolge,cocuklu,evrak_sayisi,evrak_listesi,uyari_sayisi
IT_TUR_CALISAN_GEMI_OTEL_ANKARA_COCUKLU,calisan,otel,gemi,ankara,True,19,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|GEMI_BELGESI|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT|MUVAFAKATNAME|COCUK_BASVURU_FORMU|DOGUM_BELGESI,5
IT_TUR_CALISAN_GEMI_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,gemi,istanbul,False,16,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|GEMI_BELGESI|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT,1
IT_TUR_CALISAN_GEMI_OTEL_ISTANBUL_COCUKLU,calisan,otel,gemi,istanbul,True,19,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|GEMI_BELGESI|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT|MUVAFAKATNAME|COCUK_BASVURU_FORMU|DOGUM_BELGESI,4
IT_TUR_CALISAN_GEMI_OTEL_IZMIR_COCUKSUZ,calisan,otel,gemi,izmir,False,16,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|GEMI_BELGESI|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT,1
IT_TUR_CALISAN_GEMI_OTEL_IZMIR_COCUKLU,calisan,otel,gemi,izmir,True,19,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|GEMI_BELGESI|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT|MUVAFAKATNAME|COCUK_BASVURU_FORMU|DOGUM_BELGESI,4
IT_TUR_CALISAN_GEMI_OTEL_DIGER_COCUKSUZ,calisan,otel,gemi,diger,False,16,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|GEMI_BELGESI|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT,1
IT_TUR_CALISAN_GEMI_OTEL_DIGER_COCUKLU,calisan,otel,gemi,diger,True,19,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|GEMI_BELGESI|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT|MUVAFAKATNAME|COCUK_BASVURU_FORMU|DOGUM_BELGESI,4
IT_TUR_CALISAN_TREN_OTEL_ANKARA_COCUKSUZ,calisan,otel,tren,ankara,False,16,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|TREN_BILETI|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT,1
IT_TUR_CALISAN_TREN_OTEL_ANKARA_COCUKLU,calisan,otel,tren,ankara,True,19,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|TREN_BILETI|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT|MUVAFAKATNAME|COCUK_BASVURU_FORMU|DOGUM_BELGESI,5
IT_TUR_CALISAN_TREN_OTEL_ISTANBUL_COCUKSUZ,calisan,otel,tren,istanbul,False,16,PASAPORT|KIMLIK_FOTOKOPI|BASVURU_FORMU|BIYOMETRIK_FOTOGRAF|SEYAHAT_SAGLIK_SIGORTASI|VIZE_HARCI|TARIHCELI_YERLESIM_YERI|VUKUATLI_NUFUS|SEYAHAT_BILDIRGE|TREN_BILETI|OTEL_REZERVASYONU|CALISMA_IZIN_BELGESI|CALISMA_EVRAKLARI|IMZA_SIRKULERI_CALISAN|MADDI_GELIR_CALISAN|TEMINAT,1
